SPECIES,REP,TISSUE,TISSUE_A,CODE,SEX,TIBIA_MM,WING_MM,THORAX_MM
PR,4,Brain,Brain 4,PR.B4.F1,F,1.923,6.93,3.677
PR,4,Brain,Brain 4,PR.B4.F2,F,2.3,7.514,3.822
PR,4,Brain,Brain 4,PR.B4.F3,F,2.153,7.04,3.554
PR,4,Brain,Brain 4,PR.B4.F4,F,2.241,7.012,3.477
PR,4,Brain,Brain 4,PR.B4.F5,F,2.401,7.717,3.848
PR,5,Brain,Brain 5,PR.B5.F1,F,1.88,6.674,3.469
PR,5,Brain,Brain 5,PR.B5.F2,F,1.945,6.967,3.462
PR,5,Brain,Brain 5,PR.B5.F3,F,2.369,7.526,3.969
PR,5,Brain,Brain 5,PR.B5.F4,F,2.106,7.707,3.752
PR,5,Brain,Brain 5,PR.B5.F5,F,2.058,6.753,3.444
PR,1,Muscle,Muscle 1,PR.M1.F1,F,2.239,6.542,3.379
PR,1,Muscle,Muscle 1,PR.M1.F2,F,2.072,6.769,3.336
PR,1,Muscle,Muscle 1,PR.M1.F3,F,1.8,6.317,2.901
PR,1,Muscle,Muscle 1,PR.M1.F4,F,2.287,7.324,3.68
PR,1,Muscle,Muscle 1,PR.M1.F5,F,2.244,7.193,3.643
PR,2,Muscle,Muscle 2,PR.M2.F1,F,2.243,6.559,3.252
PR,2,Muscle,Muscle 2,PR.M2.F2,F,2.044,6.485,3.456
PR,2,Muscle,Muscle 2,PR.M2.F3,F,2.141,7.13,3.652
PR,2,Muscle,Muscle 2,PR.M2.F4,F,2.497,7.542,3.635
PR,2,Muscle,Muscle 2,PR.M2.F5,F,2.14,7.045,3.834
PR,3,Muscle,Muscle 3,PR.M3.F1,F,2.14,7.146,3.675
PR,3,Muscle,Muscle 3,PR.M3.F2,F,2.259,6.743,3.331
PR,3,Muscle,Muscle 3,PR.M3.F3,F,2.038,6.836,3.627
PR,3,Muscle,Muscle 3,PR.M3.F4,F,2.058,7.276,3.648
PR,3,Muscle,Muscle 3,PR.M3.F5,F,2.205,7.299,3.541
PR,4,Muscle,Muscle 4,PR.M4.F1,F,2.071,6.797,3.245
PR,4,Muscle,Muscle 4,PR.M4.F2,F,2.155,6.844,3.617
PR,4,Muscle,Muscle 4,PR.M4.F3,F,1.964,6.716,3.522
PR,4,Muscle,Muscle 4,PR.M4.F4,F,2.211,7.602,3.813
PR,4,Muscle,Muscle 4,PR.M4.F5,F,2.098,7.319,3.646
PR,5,Muscle,Muscle 5,PR.M5.F1,F,2.013,6.753,3.321
PR,5,Muscle,Muscle 5,PR.M5.F2,F,2.202,7.143,3.747
PR,5,Muscle,Muscle 5,PR.M5.F3,F,1.83,6.224,2.983
PR,5,Muscle,Muscle 5,PR.M5.F4,F,2.134,7.016,3.742
PR,5,Muscle,Muscle 5,PR.M5.F5,F,1.999,6.274,3.201
PR,1,Pork Liver,Liver 1,PR.L1.M1,M,1.86,6.304,3.186
PR,1,Pork Liver,Liver 1,PR.L1.M2,M,1.859,6.083,3.072
PR,1,Pork Liver,Liver 1,PR.L1.M3,M,1.695,5.681,2.989
PR,1,Pork Liver,Liver 1,PR.L1.M4,M,1.749,5.391,2.756
PR,1,Pork Liver,Liver 1,PR.L1.M5,M,1.814,5.969,3.002
PR,2,Pork Liver,Liver 2,PR.L2.M1,M,1.632,5.249,2.757
PR,2,Pork Liver,Liver 2,PR.L2.M2,M,1.702,5.38,2.785
PR,2,Pork Liver,Liver 2,PR.L2.M3,M,1.64,5.921,3.145
PR,2,Pork Liver,Liver 2,PR.L2.M4,M,1.75,6.27,3.326
PR,2,Pork Liver,Liver 2,PR.L2.M5,M,1.888,6.512,3.256
PR,3,Pork Liver,Liver 3,PR.L3.M1,M,1.766,6.564,3.303
PR,3,Pork Liver,Liver 3,PR.L3.M2,M,1.846,5.493,2.724
PR,3,Pork Liver,Liver 3,PR.L3.M3,M,1.907,6.24,3.472
PR,3,Pork Liver,Liver 3,PR.L3.M4,M,2.493,8.214,4.229
PR,3,Pork Liver,Liver 3,PR.L3.M5,M,2.029,6.464,3.408
PR,4,Pork Liver,Liver 4,PR.L4.M1,M,1.889,6.397,3.392
PR,4,Pork Liver,Liver 4,PR.L4.M2,M,1.542,6.157,3.152
PR,4,Pork Liver,Liver 4,PR.L4.M3,M,1.741,5.445,2.718
PR,4,Pork Liver,Liver 4,PR.L4.M4,M,1.782,6.396,3.168
PR,4,Pork Liver,Liver 4,PR.L4.M5,M,1.815,6.137,3.184
PR,5,Pork Liver,Liver 5,PR.L5.M1,M,1.88,6.775,3.315
PR,5,Pork Liver,Liver 5,PR.L5.M2,M,1.909,5.774,3.07
PR,5,Pork Liver,Liver 5,PR.L5.M3,M,1.843,5.954,2.876
PR,5,Pork Liver,Liver 5,PR.L5.M4,M,1.744,5.899,2.999
PR,5,Pork Liver,Liver 5,PR.L5.M5,M,1.891,6.252,3.07
PR,1,Beef Liver,Liver 6,PR.L6.M1,M,2.273,7.144,4.06
PR,1,Beef Liver,Liver 6,PR.L6.M2,M,2.05,6.62,3.791
PR,1,Beef Liver,Liver 6,PR.L6.M3,M,1.975,6.461,3.472
PR,1,Beef Liver,Liver 6,PR.L6.M4,M,2.108,6.55,3.518
PR,1,Beef Liver,Liver 6,PR.L6.M5,M,2.077,6.666,3.538
PR,2,Beef Liver,Liver 7,PR.L7.M1,M,2.183,6.945,3.6
PR,2,Beef Liver,Liver 7,PR.L7.M2,M,2.127,6.888,3.536
PR,2,Beef Liver,Liver 7,PR.L7.M3,M,1.4,6.183,3.277
PR,2,Beef Liver,Liver 7,PR.L7.M4,M,2.269,6.649,3.581
PR,2,Beef Liver,Liver 7,PR.L7.M5,M,1.958,7.333,3.815
PR,3,Beef Liver,Liver 8,PR.L8.M1,M,2.151,7.173,3.529
PR,3,Beef Liver,Liver 8,PR.L8.M2,M,2.17,7.258,3.849
PR,3,Beef Liver,Liver 8,PR.L8.M3,M,2.076,6.77,3.541
PR,3,Beef Liver,Liver 8,PR.L8.M4,M,2.136,7.084,3.788
PR,3,Beef Liver,Liver 8,PR.L8.M5,M,1.874,5.936,3.167
PR,4,Beef Liver,Liver 9,PR.L9.M1,M,2.179,7.086,3.723
PR,4,Beef Liver,Liver 9,PR.L9.M2,M,2.037,6.896,3.53
PR,4,Beef Liver,Liver 9,PR.L9.M3,M,2.016,6.906,3.687
PR,4,Beef Liver,Liver 9,PR.L9.M4,M,2.048,6.608,3.54
PR,4,Beef Liver,Liver 9,PR.L9.M5,M,1.879,6.36,3.346
PR,5,Beef Liver,Liver 10,PR.L10.M1,M,2.26,7.36,3.784
PR,5,Beef Liver,Liver 10,PR.L10.M2,M,2.126,7.147,3.56
PR,5,Beef Liver,Liver 10,PR.L10.M3,M,1.881,6.782,3.396
PR,5,Beef Liver,Liver 10,PR.L10.M4,M,2.089,6.657,3.401
PR,5,Beef Liver,Liver 10,PR.L10.M5,M,2.268,7.399,3.817
PR,1,Kidney,Kidney 1,PR.K1.M1,M,2.357,6.745,3.478
PR,1,Kidney,Kidney 1,PR.K1.M2,M,2.114,7.122,3.697
PR,1,Kidney,Kidney 1,PR.K1.M3,M,2.362,7.09,4.122
PR,1,Kidney,Kidney 1,PR.K1.M4,M,2.207,7.285,3.651
PR,1,Kidney,Kidney 1,PR.K1.M5,M,2.161,7.622,4.037
PR,2,Kidney,Kidney 2,PR.K2.M1,M,2.044,6.894,3.528
PR,2,Kidney,Kidney 2,PR.K2.M2,M,2.274,7.237,3.534
PR,2,Kidney,Kidney 2,PR.K2.M3,M,2.026,7.217,3.819
PR,2,Kidney,Kidney 2,PR.K2.M4,M,2.258,7.307,3.786
PR,2,Kidney,Kidney 2,PR.K2.M5,M,2.267,7.209,3.413
PR,3,Kidney,Kidney 3,PR.K3.M1,M,2.02,7.095,3.799
PR,3,Kidney,Kidney 3,PR.K3.M2,M,2.086,7.31,3.75
PR,3,Kidney,Kidney 3,PR.K3.M3,M,2.132,7.063,3.642
PR,3,Kidney,Kidney 3,PR.K3.M4,M,2.197,7.685,3.867
PR,3,Kidney,Kidney 3,PR.K3.M5,M,2.227,7.214,3.736
PR,4,Kidney,Kidney 4,PR.K4.M1,M,2.059,6.292,3.471
PR,4,Kidney,Kidney 4,PR.K4.M2,M,2.034,7.06,3.472
PR,4,Kidney,Kidney 4,PR.K4.M3,M,2.185,7.209,3.655
PR,4,Kidney,Kidney 4,PR.K4.M4,M,2.195,7.55,3.796
PR,4,Kidney,Kidney 4,PR.K4.M5,M,2.305,7.351,3.691
PR,5,Kidney,Kidney 5,PR.K5.M1,M,2.296,7.212,3.814
PR,5,Kidney,Kidney 5,PR.K5.M2,M,2.323,7.548,3.933
PR,5,Kidney,Kidney 5,PR.K5.M3,M,2.349,7.369,4.018
PR,5,Kidney,Kidney 5,PR.K5.M4,M,2.319,7.943,4.055
PR,5,Kidney,Kidney 5,PR.K5.M5,M,2.202,6.869,3.667
PR,1,Brain,Brain 1,PR.B1.M1,M,2.061,7.047,3.628
PR,1,Brain,Brain 1,PR.B1.M2,M,1.572,6.148,3.15
PR,1,Brain,Brain 1,PR.B1.M3,M,2.098,7.438,3.652
PR,1,Brain,Brain 1,PR.B1.M4,M,1.984,6.584,3.559
PR,1,Brain,Brain 1,PR.B1.M5,M,1.994,6.08,3.236
PR,2,Brain,Brain 2,PR.B2.M1,M,1.925,7.022,3.672
PR,2,Brain,Brain 2,PR.B2.M2,M,2.238,7.539,3.689
PR,2,Brain,Brain 2,PR.B2.M3,M,2.142,6.704,3.733
PR,2,Brain,Brain 2,PR.B2.M4,M,2.127,7.345,3.88
PR,2,Brain,Brain 2,PR.B2.M5,M,2.174,7.455,3.772
PR,3,Brain,Brain 3,PR.B3.M1,M,2.354,7.058,3.775
PR,3,Brain,Brain 3,PR.B3.M2,M,1.989,6.288,3.34
PR,3,Brain,Brain 3,PR.B3.M3,M,2.033,7.454,3.977
PR,3,Brain,Brain 3,PR.B3.M4,M,2.437,7.067,3.479
PR,3,Brain,Brain 3,PR.B3.M5,M,2.101,6.731,3.426
PR,4,Brain,Brain 4,PR.B4.M1,M,2.268,7.167,3.913
PR,4,Brain,Brain 4,PR.B4.M2,M,1.956,6.372,3.404
PR,4,Brain,Brain 4,PR.B4.M3,M,2.195,7.309,3.489
PR,4,Brain,Brain 4,PR.B4.M4,M,2.214,7.145,3.785
PR,4,Brain,Brain 4,PR.B4.M5,M,2.191,7.006,3.595
PR,5,Brain,Brain 5,PR.B5.M1,M,2.077,7.08,3.873
PR,5,Brain,Brain 5,PR.B5.M2,M,2.151,6.932,3.729
PR,5,Brain,Brain 5,PR.B5.M3,M,2.081,7.588,3.747
PR,5,Brain,Brain 5,PR.B5.M4,M,2.433,7.177,3.712
PR,5,Brain,Brain 5,PR.B5.M5,M,2.195,7.284,3.939
PR,1,Muscle,Muscle 1,PR.M1.M1,M,2.048,6.311,3.148
PR,1,Muscle,Muscle 1,PR.M1.M2,M,1.773,6.972,3.561
PR,1,Muscle,Muscle 1,PR.M1.M3,M,2.201,6.57,3.411
PR,1,Muscle,Muscle 1,PR.M1.M4,M,2.173,7.126,3.816
PR,1,Muscle,Muscle 1,PR.M1.M5,M,2.276,7.236,3.692
PR,2,Muscle,Muscle 2,PR.M2.M1,M,1.838,6.518,3.271
PR,2,Muscle,Muscle 2,PR.M2.M2,M,2.104,6.939,3.726
PR,2,Muscle,Muscle 2,PR.M2.M3,M,2.104,7.36,3.819
PR,2,Muscle,Muscle 2,PR.M2.M4,M,1.98,7.293,3.631
PR,2,Muscle,Muscle 2,PR.M2.M5,M,2.155,7.142,3.521
PR,3,Muscle,Muscle 3,PR.M3.M1,M,1.897,6.638,3.43
PR,3,Muscle,Muscle 3,PR.M3.M2,M,2.186,7.218,3.696
PR,3,Muscle,Muscle 3,PR.M3.M3,M,1.984,7.166,3.428
PR,3,Muscle,Muscle 3,PR.M3.M4,M,2.033,7.606,3.791
PR,3,Muscle,Muscle 3,PR.M3.M5,M,1.913,6.817,3.538
PR,4,Muscle,Muscle 4,PR.M4.M1,M,2.162,7.204,3.841
PR,4,Muscle,Muscle 4,PR.M4.M2,M,1.788,6.045,3.285
PR,4,Muscle,Muscle 4,PR.M4.M3,M,1.898,6.44,3.306
PR,4,Muscle,Muscle 4,PR.M4.M4,M,1.982,6.847,3.434
PR,4,Muscle,Muscle 4,PR.M4.M5,M,2.149,7.053,3.66
PR,5,Muscle,Muscle 5,PR.M5.M1,M,1.871,6.465,3.406
PR,5,Muscle,Muscle 5,PR.M5.M2,M,2.146,6.69,3.445
PR,5,Muscle,Muscle 5,PR.M5.M3,M,1.861,6.636,3.331
PR,5,Muscle,Muscle 5,PR.M5.M4,M,2.027,6.651,3.358
PR,5,Muscle,Muscle 5,PR.M5.M5,M,2.214,7.306,3.662
