SPECIES,REP,TISSUE,TISSUE_A,CODE,SEX,TIBIA_MM,WING_MM,THORAX_MM
LS,2,Beef Liver,Liver 7,LS.L7.F2,F,2.267,7.525,3.777
LS,2,Beef Liver,Liver 7,LS.L7.F3,F,2.101,6.88,3.489
LS,2,Beef Liver,Liver 7,LS.L7.F4,F,2.092,6.776,3.689
LS,2,Beef Liver,Liver 7,LS.L7.F5,F,2.129,6.932,3.726
LS,3,Beef Liver,Liver 8,LS.L8.F1,F,1.996,7.04,3.391
LS,3,Beef Liver,Liver 8,LS.L8.F2,F,2.103,6.99,3.402
LS,3,Beef Liver,Liver 8,LS.L8.F3,F,2.214,6.721,3.663
LS,3,Beef Liver,Liver 8,LS.L8.F4,F,2.042,6.772,3.242
LS,3,Beef Liver,Liver 8,LS.L8.F5,F,1.902,6.209,2.899
LS,4,Beef Liver,Liver 9,LS.L9.F1,F,2.087,6.332,3.279
LS,4,Beef Liver,Liver 9,LS.L9.F2,F,2.168,7.049,3.906
LS,4,Beef Liver,Liver 9,LS.L9.F3,F,1.986,6.45,2.962
LS,4,Beef Liver,Liver 9,LS.L9.F4,F,1.927,6.119,2.84
LS,4,Beef Liver,Liver 9,LS.L9.F5,F,2.241,7.122,3.629
LS,5,Beef Liver,Liver 10,LS.L10.F1,F,1.997,7.212,3.639
LS,5,Beef Liver,Liver 10,LS.L10.F2,F,2.045,6.69,3.572
LS,5,Beef Liver,Liver 10,LS.L10.F3,F,2.064,6.54,3.399
LS,5,Beef Liver,Liver 10,LS.L10.F4,F,2.183,7.093,3.901
LS,5,Beef Liver,Liver 10,LS.L10.F5,F,2.192,7.404,3.553
LS,1,Kidney,Kidney 1,LS.K1.F1,F,2.196,7.174,3.587
LS,1,Kidney,Kidney 1,LS.K1.F2,F,2.046,7.228,3.56
LS,1,Kidney,Kidney 1,LS.K1.F3,F,1.846,6.508,3.213
LS,1,Kidney,Kidney 1,LS.K1.F4,F,2.025,6.53,3.002
LS,1,Kidney,Kidney 1,LS.K1.F5,F,1.887,6.948,3.444
LS,2,Kidney,Kidney 2,LS.K2.F1,F,2.069,6.624,3.313
LS,2,Kidney,Kidney 2,LS.K2.F2,F,1.735,6.256,3.004
LS,2,Kidney,Kidney 2,LS.K2.F3,F,2.321,7.544,3.595
LS,2,Kidney,Kidney 2,LS.K2.F4,F,2.147,6.951,3.412
LS,2,Kidney,Kidney 2,LS.K2.F5,F,1.992,6.994,3.504
LS,3,Kidney,Kidney 3,LS.K3.F1,F,2.18,7.344,3.679
LS,3,Kidney,Kidney 3,LS.K3.F2,F,1.999,6.913,3.243
LS,3,Kidney,Kidney 3,LS.K3.F3,F,2.049,6.879,3.51
LS,3,Kidney,Kidney 3,LS.K3.F4,F,2.14,7.492,3.39
LS,3,Kidney,Kidney 3,LS.K3.F5,F,1.875,6.788,3.361
LS,4,Kidney,Kidney 4,LS.K4.F1,F,1.876,7.511,4.133
LS,4,Kidney,Kidney 4,LS.K4.F2,F,2.188,6.574,3.183
LS,4,Kidney,Kidney 4,LS.K4.F3,F,1.969,6.858,3.739
LS,4,Kidney,Kidney 4,LS.K4.F4,F,2.084,7.079,3.741
LS,4,Kidney,Kidney 4,LS.K4.F5,F,2.02,6.942,3.429
LS,5,Kidney,Kidney 5,LS.K5.F1,F,2.26,7.611,3.597
LS,5,Kidney,Kidney 5,LS.K5.F2,F,2.122,7.389,3.776
LS,5,Kidney,Kidney 5,LS.K5.F3,F,1.804,6.655,3.3
LS,5,Kidney,Kidney 5,LS.K5.F4,F,2.399,7.468,3.701
LS,5,Kidney,Kidney 5,LS.K5.F5,F,2.14,6.648,3.464
LS,1,Pork Liver,Liver 1,LS.L1.M1,M,1.933,6.154,2.98
LS,1,Pork Liver,Liver 1,LS.L1.M2,M,1.8,6.869,2.946
LS,1,Pork Liver,Liver 1,LS.L1.M3,M,1.929,6.332,2.937
LS,1,Pork Liver,Liver 1,LS.L1.M4,M,1.965,6.545,3.046
LS,1,Pork Liver,Liver 1,LS.L1.M5,M,1.824,6.77,3.347
LS,2,Pork Liver,Liver 2,LS.L2.M1,M,1.995,6.646,3.12
LS,2,Pork Liver,Liver 2,LS.L2.M2,M,1.973,7.254,3.142
LS,2,Pork Liver,Liver 2,LS.L2.M3,M,1.893,5.935,3.178
LS,2,Pork Liver,Liver 2,LS.L2.M4,M,2.041,6.021,2.893
LS,2,Pork Liver,Liver 2,LS.L2.M5,M,2.015,6.431,3.173
LS,3,Pork Liver,Liver 3,LS.L3.M1,M,2.156,6.45,3.365
LS,3,Pork Liver,Liver 3,LS.L3.M2,M,1.908,5.942,3.42
LS,3,Pork Liver,Liver 3,LS.L3.M3,M,2.01,6.779,3.259
LS,3,Pork Liver,Liver 3,LS.L3.M4,M,2.17,6.144,3.392
LS,3,Pork Liver,Liver 3,LS.L3.M5,M,2.016,7.45,3.63
LS,4,Pork Liver,Liver 4,LS.L4.M1,M,1.947,6.405,2.919
LS,4,Pork Liver,Liver 4,LS.L4.M2,M,1.79,6.108,3.292
LS,4,Pork Liver,Liver 4,LS.L4.M3,M,2.003,5.77,2.969
LS,4,Pork Liver,Liver 4,LS.L4.M4,M,2.039,6.531,3.44
