DATE,DAY,SEASON,TEST SITE,HABITAT,SAMPLE TYPE,CLASS,ORDER,SUBORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS ,SPECIES,STAGE COLL.,# COLLECTED,# FEMALE,# MALE,# UNKNOWN,NOTES,,Total
31-Jul-15,1,Summer,Urban West 5,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 5,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 5,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 5,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 1,,Wasp,Lucilia,sericata,,Adult,117,86,31,,Lucilia,sericata,Adult,196,154,42,0,,,
1-Aug-15,2,Summer,Urban East 1,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 1,,Wasp,Phormia,regina,,Adult,1,1,0,,Phormia,regina,Adult,1,1,0,0,,,
1-Aug-15,2,Summer,Urban East 1,,Wasp,Phormia,regina,,Adult,1,1,0,,Calliphora,vicina,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Park Mid 1,,Wasp,Calliphora,vicina,,Adult,15,5,10,,Lucilia,sericata,Adult,78,73,5,0,,,
1-Aug-15,2,Summer,Park Mid 1,,Wasp,Lucilia,sericata,,Adult,14,14,0,,Lucilia,coeruliviridis,Adult,277,253,23,1,,,
1-Aug-15,2,Summer,Park Mid 1,,Wasp,Lucilia,coeruliviridis,,Adult,71,66,5,,Phormia,regina,Adult,7,7,0,0,,,
1-Aug-15,2,Summer,Park Mid 1,,Wasp,Phormia,regina,,Adult,1,1,0,,Calliphora,vicina,Adult,33,16,17,0,,,
1-Aug-15,2,Summer,Park Mid 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
